benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,dram_joules,dram_mJ,total_joules,total_mJ
dijkstra,58356087436,16392899211142,16451255298578,18867882624.000,18867.882624,51.183,42.00,43.00,45.00,49.00,336.863800,336863.800,,,336.863800,336863.800
dijkstra,58268369516,16451382966876,16509651336392,18839416065.000,18839.416065,41.016,42.00,43.00,45.00,49.00,336.516022,336516.022,,,336.516022,336516.022
dijkstra,58374307012,16509779954334,16568154261346,18873623443.000,18873.623443,41.029,41.00,42.00,44.00,49.00,337.199554,337199.554,,,337.199554,337199.554
dijkstra,58360809784,16568282498306,16626643308090,18869483630.000,18869.483630,41.070,42.00,42.00,45.00,51.00,336.967224,336967.224,,,336.967224,336967.224
dijkstra,58514302304,16626802891865,16685317194169,18918897689.000,18918.897689,51.194,43.00,43.00,45.00,51.00,338.170334,338170.334,,,338.170334,338170.334
dijkstra,58549725308,16685476361221,16744026086529,18930192479.000,18930.192479,51.099,43.00,42.00,45.00,50.00,338.066483,338066.483,,,338.066483,338066.483
dijkstra,58768419756,16744154238406,16802922658162,19001336908.000,19001.336908,41.004,42.00,42.00,45.00,50.00,339.546707,339546.707,,,339.546707,339546.707
dijkstra,58526663392,16803051086024,16861577749416,18922810229.000,18922.810229,41.031,43.00,41.00,45.00,50.00,338.021912,338021.912,,,338.021912,338021.912
dijkstra,58351152444,16861705954862,16920057107306,18866452695.000,18866.452695,40.999,42.00,42.00,45.00,49.00,337.139740,337139.740,,,337.139740,337139.740
dijkstra,58417918940,16920185202398,16978603121338,18887839123.000,18887.839123,40.937,42.00,42.00,45.00,50.00,337.412094,337412.094,,,337.412094,337412.094
fdct,47513271064,16978763030442,17026276301506,15362088718.000,15362.088718,51.233,42.00,41.00,45.00,50.00,270.444611,270444.611,,,270.444611,270444.611
fdct,47515035760,17026404007601,17073919043361,15362721764.000,15362.721764,40.988,41.00,42.00,45.00,48.00,270.213287,270213.287,,,270.213287,270213.287
fdct,47511011820,17074016247858,17121527259678,15361538805.000,15361.538805,30.785,42.00,41.00,45.00,50.00,270.048935,270048.935,,,270.048935,270048.935
fdct,47508490880,17121654968698,17169163459578,15360587393.000,15360.587393,41.010,41.00,42.00,45.00,49.00,269.964691,269964.691,,,269.964691,269964.691
