benchmark,cpu_cycles,cycles_start,cycles_end,time_ns,time_ms,cooldown_ms,temp_before,temp_after,pkg_temp_before,pkg_temp_after,pkg_joules,pkg_mJ,pp0_joules,pp0_mJ,pp1_joules,pp1_mJ,dram_joules,dram_mJ,total_joules,total_mJ
fir,429169892,4533287275292,4533716445184,138818168.000,138.818168,0.010,44.00,45.00,44.00,45.00,2.264511,2264.511,1.776459,1776.459,0.036469,36.469,,,2.264511,2264.511
fir,429202692,4533716766940,4534145969632,138828415.000,138.828415,0.009,45.00,44.00,45.00,44.00,2.251373,2251.373,1.766220,1766.220,0.036255,36.255,,,2.251373,2251.373
fir,429215024,4534146291040,4534575506064,138831427.000,138.831427,0.009,44.00,44.00,44.00,44.00,2.250870,2250.870,1.765686,1765.686,0.036209,36.209,,,2.250870,2250.870
fir,429218852,4534575824860,4535005043712,138834423.000,138.834423,0.009,44.00,44.00,44.00,44.00,2.269241,2269.241,1.780304,1780.304,0.036484,36.484,,,2.269241,2269.241
fir,429176556,4535005367108,4535434543664,138819700.000,138.819700,0.009,44.00,45.00,44.00,45.00,2.249344,2249.344,1.764191,1764.191,0.036255,36.255,,,2.249344,2249.344
fir,429235244,4535434864328,4535864099572,138839787.000,138.839787,0.009,45.00,45.00,45.00,45.00,2.274338,2274.338,1.784531,1784.531,0.036484,36.484,,,2.274338,2274.338
fir,429203968,4535864423068,4536293627036,138829393.000,138.829393,0.009,44.00,44.00,44.00,44.00,2.254929,2254.929,1.769531,1769.531,0.036316,36.316,,,2.254929,2254.929
fir,429150032,4536293953156,4536723103188,138811360.000,138.811360,0.009,44.00,44.00,44.00,44.00,2.279160,2279.160,1.791107,1791.107,0.036423,36.423,,,2.279160,2279.160
fir,429184212,4536723442424,4537152626636,138826942.000,138.826942,0.009,44.00,44.00,44.00,44.00,2.249695,2249.695,1.765213,1765.213,0.036240,36.240,,,2.249695,2249.695
fir,429197712,4537152953776,4537582151488,138827258.000,138.827258,0.009,44.00,44.00,44.00,44.00,2.265015,2265.015,1.777100,1777.100,0.036453,36.453,,,2.265015,2265.015
fir,429201808,4537582478496,4538011680304,138827241.000,138.827241,0.009,44.00,45.00,44.00,45.00,2.250885,2250.885,1.765839,1765.839,0.036209,36.209,,,2.250885,2250.885
fir,429242960,4538012003536,4538441246496,138842324.000,138.842324,0.009,45.00,44.00,45.00,44.00,2.250610,2250.610,1.765427,1765.427,0.036255,36.255,,,2.250610,2250.610
fir,429211532,4538441575408,4538870786940,138830560.000,138.830560,0.009,44.00,44.00,44.00,44.00,2.269363,2269.363,1.780579,1780.579,0.036469,36.469,,,2.269363,2269.363
fir,429214368,4538871109772,4539300324140,138832606.000,138.832606,0.009,44.00,45.00,44.00,45.00,2.247238,2247.238,1.762878,1762.878,0.036285,36.285,,,2.247238,2247.238
fir,429225132,4539300653304,4539729878436,138836356.000,138.836356,0.009,45.00,45.00,45.00,45.00,2.263107,2263.107,1.775101,1775.101,0.036484,36.484,,,2.263107,2263.107
fir,429170736,4539730206620,4540159377356,138817486.000,138.817486,0.009,44.00,44.00,44.00,44.00,2.250458,2250.458,1.766220,1766.220,0.036224,36.224,,,2.250458,2250.458
fir,429187312,4540159738744,4540588926056,138827802.000,138.827802,0.010,44.00,44.00,44.00,44.00,2.264252,2264.252,1.776581,1776.581,0.036453,36.453,,,2.264252,2264.252
fir,429264996,4540589253180,4541018518176,138849301.000,138.849301,0.009,44.00,45.00,44.00,45.00,2.246078,2246.078,1.761444,1761.444,0.036209,36.209,,,2.246078,2246.078
